date,open,high,low,close,volume
2025-05-27 04:00:00,165.27,167.98,165.27,167.76,11423794.0
2025-05-28 04:00:00,167.65,168.84,167.06,167.36,5385942.0
2025-05-29 04:00:00,166.74,168.99,166.44,168.56,4842554.0
2025-05-30 04:00:00,168.75,170.99,168.6,169.89,12587537.0
2025-06-02 04:00:00,169.02,169.04,166.23,167.78,7574428.0
2025-06-03 04:00:00,166.78,167.405,165.9,166.85,6223447.0
2025-06-04 04:00:00,166.69,168.045,165.923,165.95,4939333.0
2025-06-05 04:00:00,165.43,165.44,162.51,162.8,10352288.0
2025-06-06 04:00:00,163.29,165.24,163.28,164.02,5697877.0
2025-06-09 04:00:00,163.39,164.016,162.07,162.56,6544199.0
2025-06-10 04:00:00,162.69,163.51,161.92,162.84,7680015.0
2025-06-11 04:00:00,162.63,162.7699,161.69,162.11,5960052.0
2025-06-12 04:00:00,161.97,163.31,161.675,163.18,6509891.0
2025-06-13 04:00:00,162.765,163.03,159.91,160.28,7104547.0
2025-06-16 04:00:00,160.88,161.95,160.01,160.88,6331961.0
2025-06-17 04:00:00,160.06,160.37,158.31,158.52,6809747.0
2025-06-18 04:00:00,158.55,158.65,157.66,158.02,7211225.0
2025-06-20 04:00:00,158.03,159.34,157.85,159.08,16173371.0
2025-06-23 04:00:00,159.07,161.19,159.0,161.03,6588223.0
2025-06-24 04:00:00,161.175,161.74,159.65,160.36,7470052.0
2025-06-25 04:00:00,159.825,160.34,158.71,158.97,5933715.0
2025-06-26 04:00:00,159.55,159.56,157.17,158.63,7410446.0
2025-06-27 04:00:00,158.68,160.13,158.29,159.86,19256955.0
2025-06-30 04:00:00,159.26,159.9,158.13,159.32,11238201.0
2025-07-01 04:00:00,159.88,162.53,159.38,161.22,10664891.0
2025-07-02 04:00:00,161.135,161.35,159.86,161.2,8848744.0
2025-07-03 04:00:00,161.79,162.02,159.785,160.83,6999589.0
2025-07-07 04:00:00,160.89,161.18,159.29,160.5,7225695.0
2025-07-08 04:00:00,159.52,159.78,157.44,157.89,12034764.0
2025-07-09 04:00:00,158.1,158.2,155.95,157.52,18770894.0
2025-07-10 04:00:00,157.76,159.6099,157.04,158.49,7201748.0
2025-07-11 04:00:00,158.05,158.05,156.44,157.05,8053808.0
2025-07-14 04:00:00,155.58,155.8,152.86,153.76,11491688.0
2025-07-15 04:00:00,153.56,154.05,151.9,152.68,9142615.0
2025-07-16 04:00:00,152.74,153.76,152.27,153.73,8478151.0
2025-07-17 04:00:00,154.04,155.75,153.875,155.62,8319996.0
2025-07-18 04:00:00,153.78,155.565,153.63,155.1,7337129.0
2025-07-21 04:00:00,155.07,155.94,154.89,155.03,6328370.0
2025-07-22 04:00:00,154.92,158.37,154.9,158.32,8186970.0
2025-07-23 04:00:00,158.22,158.88,157.68,158.28,4804795.0
2025-07-24 04:00:00,158.87,159.02,158.05,158.81,7027392.0
2025-07-25 04:00:00,157.34,158.44,157.02,158.3,5800248.0
2025-07-28 04:00:00,157.625,158.09,156.23,157.11,7885026.0
2025-07-29 04:00:00,158.65,158.65,154.84,156.61,11466058.0
2025-07-30 04:00:00,157.0,157.0,152.05,152.88,8162758.0
2025-07-31 04:00:00,151.8,152.0,149.91,150.47,11845443.0
2025-08-01 04:00:00,151.775,153.49,150.52,150.65,8594220.0
2025-08-04 04:00:00,150.25,151.46,150.02,150.76,7679361.0
2025-08-05 04:00:00,150.71,152.08,150.32,150.51,6670065.0
2025-08-06 04:00:00,150.86,153.48,150.21,152.86,7376213.0
2025-08-07 04:00:00,153.12,154.01,152.7,153.49,6719044.0
2025-08-08 04:00:00,152.77,153.79,152.57,153.51,5811281.0
2025-08-11 04:00:00,153.54,155.39,153.31,154.98,7331707.0
2025-08-12 04:00:00,155.06,155.545,154.31,155.09,6938336.0
2025-08-13 04:00:00,155.205,157.011,154.95,155.41,5812356.0
2025-08-14 04:00:00,154.64,154.7,153.27,153.74,6343715.0
2025-08-15 04:00:00,154.47,155.6,154.21,154.36,7121700.0
2025-08-18 04:00:00,154.42,156.915,154.17,155.72,8274726.0
2025-08-19 04:00:00,155.725,158.7,155.67,158.4,7868129.0
2025-08-20 04:00:00,158.58,161.03,158.41,159.51,7840355.0
2025-08-21 04:00:00,157.93,159.06,157.175,158.73,6417695.0
2025-08-22 04:00:00,159.38,160.68,158.31,158.67,5797325.0
2025-08-25 04:00:00,158.39,158.7,155.89,156.15,4692505.0
2025-08-26 04:00:00,155.92,156.695,155.34,155.97,6337977.0
2025-08-27 04:00:00,156.15,157.125,155.79,156.96,4551219.0
2025-08-28 04:00:00,157.0,157.01,155.03,155.65,5857727.0
2025-08-29 04:00:00,156.09,157.555,155.6501,157.04,5313783.0
2025-09-02 04:00:00,157.36,158.86,156.98,157.99,6432837.0
2025-09-03 04:00:00,157.65,158.635,156.495,158.17,6592451.0
2025-09-04 04:00:00,158.52,159.75,157.81,159.19,6935245.0
2025-09-05 04:00:00,158.55,160.56,158.41,160.02,6427933.0
2025-09-08 04:00:00,159.61,160.27,158.25,159.01,7178356.0
2025-09-09 04:00:00,158.61,159.865,158.195,159.46,4984936.0
2025-09-10 04:00:00,158.595,158.94,155.89,157.35,6205463.0
2025-09-11 04:00:00,157.72,159.35,157.39,158.63,5817167.0
2025-09-12 04:00:00,157.93,159.13,157.78,157.9,5957021.0
2025-09-15 04:00:00,157.88,158.52,156.2,156.83,5994966.0
2025-09-16 04:00:00,157.135,158.39,156.89,158.05,6559608.0
2025-09-17 04:00:00,158.425,161.67,158.425,160.33,6764169.0
2025-09-18 04:00:00,158.15,159.0242,157.16,157.32,7651475.0
2025-09-19 04:00:00,157.61,157.62,155.97,156.04,17224774.0
2025-09-22 04:00:00,156.08,156.08,153.05,153.07,8712910.0
2025-09-23 04:00:00,153.195,153.295,150.97,152.5,8853418.0
2025-09-24 04:00:00,152.05,153.63,151.79,152.42,6483264.0
2025-09-25 04:00:00,153.23,153.88,151.78,152.15,7511415.0
2025-09-26 04:00:00,152.23,152.68,151.53,152.5,5721092.0
2025-09-29 04:00:00,152.42,153.716,151.7852,153.53,8139711.0
2025-09-30 04:00:00,153.46,154.38,152.84,153.65,7762609.0
2025-10-01 04:00:00,153.695,153.89,151.41,153.18,7566014.0
2025-10-02 04:00:00,152.72,152.8,151.625,152.05,6892089.0
2025-10-03 04:00:00,152.0,153.43,152.0,152.27,5212584.0
2025-10-06 04:00:00,151.5,152.32,150.4,150.41,6736960.0
2025-10-07 04:00:00,150.76,153.17,150.05,152.54,6844361.0
2025-10-08 04:00:00,152.79,152.79,150.63,150.69,5254728.0
2025-10-09 04:00:00,150.74,150.87,149.58,150.58,6134461.0
2025-10-10 04:00:00,150.935,151.515,149.45,149.69,7374046.0
2025-10-13 04:00:00,149.0,149.4299,146.965,147.49,7511103.0
2025-10-14 04:00:00,147.57,149.25,147.0802,149.16,8585346.0
2025-10-15 04:00:00,148.525,149.4113,147.27,147.42,10003073.0
2025-10-16 04:00:00,148.01,150.4,147.92,149.6,8809673.0
2025-10-17 04:00:00,150.57,152.03,150.43,151.4,8612894.0
2025-10-20 04:00:00,151.59,152.39,151.2981,151.96,5601287.0
2025-10-21 04:00:00,151.96,152.28,150.87,151.62,6013379.0
2025-10-22 04:00:00,151.3,153.455,150.785,152.2,6394378.0
2025-10-23 04:00:00,152.35,153.3,150.58,152.21,8205353.0
2025-10-24 04:00:00,156.4,157.4,151.53,152.49,11968491.0
2025-10-27 04:00:00,151.61,151.76,150.13,151.74,7775323.0
2025-10-28 04:00:00,151.12,153.165,150.62,151.37,5819257.0
2025-10-29 04:00:00,150.66,150.97,148.47,148.77,7405466.0
2025-10-30 04:00:00,149.47,150.8,149.34,149.58,6760702.0
2025-10-31 04:00:00,148.71,151.1,148.53,150.37,7930334.0
2025-11-03 05:00:00,150.095,150.22,147.77,148.02,8946383.0
2025-11-04 05:00:00,148.595,149.5,146.25,147.17,9295449.0
2025-11-05 05:00:00,146.87,147.42,145.65,145.79,11199878.0
2025-11-06 05:00:00,145.88,146.68,144.46,146.13,10024549.0
2025-11-07 05:00:00,146.95,147.94,146.0,146.98,8500097.0
2025-11-10 05:00:00,146.38,146.62,144.09,145.5,10208085.0
2025-11-11 05:00:00,145.955,148.65,145.67,148.54,7332540.0
2025-11-12 05:00:00,148.53,149.15,147.51,148.01,7851052.0
2025-11-13 05:00:00,148.18,149.0,147.64,147.96,7566789.0
2025-11-14 05:00:00,149.1,149.38,147.61,147.67,9151066.0
2025-11-17 05:00:00,147.75,147.98,145.01,145.82,9902310.0
2025-11-18 05:00:00,146.325,147.39,145.51,146.99,10735177.0
2025-11-19 05:00:00,146.96,147.54,145.86,146.99,6367038.0
2025-11-20 05:00:00,146.64,148.655,146.13,148.19,9021325.0
2025-11-21 05:00:00,148.38,151.5,148.3032,150.92,12017986.0
2025-11-24 05:00:00,150.1,150.41,146.54,146.98,13846906.0
2025-11-25 05:00:00,147.32,148.65,147.22,148.49,10477661.0
2025-11-26 05:00:00,147.92,148.97,147.605,148.25,9238450.0
2025-11-28 05:00:00,147.8,148.71,147.18,148.16,4707161.0
2025-12-01 05:00:00,148.1,148.89,147.35,147.44,8240689.0
2025-12-02 05:00:00,145.29,146.19,142.51,145.86,16376769.0
2025-12-03 05:00:00,145.915,148.29,145.86,146.71,9125320.0
2025-12-04 05:00:00,146.67,147.42,144.5,145.36,10479267.0
2025-12-05 05:00:00,145.16,145.63,143.25,143.45,12791745.0
2025-12-08 05:00:00,142.905,142.905,138.14,138.34,17507504.0
