date,open,high,low,close,volume
2026-06-22 04:00:00,84.325,86.62,84.2,85.97,336664.0
2026-06-23 04:00:00,84.485,86.9,84.27,86.745,218847.0
2026-06-24 04:00:00,88.24,90.69,87.835,90.645,293614.0
2026-06-25 04:00:00,91.55,95.1,91.16,92.07,400441.0
2026-06-26 04:00:00,92.23,93.05,91.95,92.56,767347.0
2026-06-29 04:00:00,92.395,93.265,91.73,93.135,225757.0
2026-06-30 04:00:00,92.965,94.925,92.53,93.68,292801.0
2026-07-01 04:00:00,94.45,94.53,92.96,93.07,241554.0
2026-07-02 04:00:00,95.13,95.645,91.99,92.78,279349.0
2026-07-06 04:00:00,93.585,95.515,91.14,91.685,306006.0
2026-07-07 04:00:00,91.6,92.05,88.17,88.635,622582.0
2026-07-08 04:00:00,86.8,87.535,85.29,87.26,513410.0
2026-07-09 04:00:00,88.185,89.54,87.78,88.98,432525.0
2026-07-10 04:00:00,88.05,89.14,85.415,87.34,603260.0
2026-07-13 04:00:00,88.08,88.08,85.51,86.2,432782.0
2026-07-14 04:00:00,86.97,86.97,84.84,85.53,326907.0
2026-07-15 04:00:00,85.89,86.41,85.325,85.96,253791.0
2026-07-16 04:00:00,85.38,87.16,85.04,86.71,226308.0
2026-07-17 04:00:00,84.53,86.0,83.7,84.15,229720.0
2026-07-20 04:00:00,84.64,85.41,83.815,84.535,378869.0
2026-07-21 04:00:00,85.31,85.31,83.86,84.62,187166.0
2026-07-22 04:00:00,83.36,84.585,82.97,83.535,248163.0
2026-07-23 04:00:00,81.085,82.08,80.695,82.0,594887.0
2026-07-24 04:00:00,82.705,85.98,82.66,85.05,263764.0
2026-07-27 04:00:00,86.915,88.4,85.75,86.675,452612.0
2026-07-28 04:00:00,86.975,89.66,86.25,89.37,334797.0
2026-07-29 04:00:00,87.065,88.45,86.15,86.275,256513.0
2026-07-30 04:00:00,87.605,89.25,86.245,88.55,328316.0
2026-07-31 04:00:00,88.03,88.395,87.35,87.42,197704.0
2026-08-03 04:00:00,89.51,91.905,89.51,91.6,324476.0
2026-08-04 04:00:00,93.29,93.75,91.95,92.765,212561.0
2026-08-05 04:00:00,93.45,94.99,93.08,93.13,261836.0
2026-08-06 04:00:00,92.61,93.245,91.95,91.99,335000.0
2026-08-07 04:00:00,91.56,92.135,90.9,91.35,176731.0
2026-08-10 04:00:00,90.34,90.34,88.94,89.205,172079.0
2026-08-11 04:00:00,89.075,90.905,89.075,90.305,88982.0
2026-08-12 04:00:00,90.74,90.85,88.55,89.98,157315.0
2026-08-13 04:00:00,91.455,92.15,90.9,91.32,150622.0
2026-08-14 04:00:00,91.2,91.355,89.09,89.36,132361.0
2026-08-17 04:00:00,88.81,89.02,87.53,87.605,160681.0
2026-08-18 04:00:00,86.92,87.23,85.68,85.71,148606.0
2026-08-19 04:00:00,86.045,86.045,83.075,83.3,222789.0
2026-08-20 04:00:00,82.12,82.165,80.68,81.06,336825.0
2026-08-21 04:00:00,82.34,83.045,82.09,82.415,207290.0
2026-08-24 04:00:00,83.89,84.29,82.16,82.51,187509.0
2026-08-25 04:00:00,84.22,84.37,82.18,83.66,285513.0
2026-08-26 04:00:00,84.85,84.91,83.01,83.055,242028.0
2026-08-27 04:00:00,82.415,82.935,80.97,81.14,168754.0
2026-08-28 04:00:00,81.92,82.16,79.93,80.04,133972.0
2026-08-31 04:00:00,79.24,79.24,77.805,78.02,271980.0
2026-09-01 04:00:00,77.59,78.175,76.01,76.38,261503.0
2026-09-02 04:00:00,77.61,79.12,77.065,78.15,200127.0
