date,open,high,low,close,volume
2025-03-13 04:00:00,170.59,174.2269,170.59,171.94,1543479.0
2025-03-14 04:00:00,171.59,175.0,170.09,170.22,1357591.0
2025-03-17 04:00:00,170.0,172.17,168.85,170.49,997919.0
2025-03-18 04:00:00,170.76,171.7,168.765,169.42,991871.0
2025-03-19 04:00:00,167.77,168.55,165.65,167.35,1705170.0
2025-03-20 04:00:00,167.25,167.78,163.7976,164.47,1696752.0
2025-03-21 04:00:00,164.26,167.8599,164.26,167.18,3047098.0
2025-03-24 04:00:00,166.85,168.74,164.51,168.01,1475462.0
2025-03-25 04:00:00,167.54,167.54,164.43,165.23,1409434.0
2025-03-26 04:00:00,165.09,169.7,165.09,168.52,1123261.0
2025-03-27 04:00:00,169.8,171.55,168.01,170.62,754888.0
2025-03-28 04:00:00,172.0,173.55,169.23,169.86,1075214.0
2025-03-31 04:00:00,170.75,172.77,169.35,171.03,1759446.0
2025-04-01 04:00:00,171.69,172.195,168.52,169.62,951002.0
2025-04-02 04:00:00,169.97,171.25,163.43,163.95,1644914.0
2025-04-03 04:00:00,163.65,167.48,162.27,166.83,3022273.0
2025-04-04 04:00:00,168.0,171.58,161.22,162.24,2504606.0
2025-04-07 04:00:00,160.7,165.005,157.0606,162.6,2376850.0
2025-04-08 04:00:00,164.23,166.04,157.4,159.1,1853459.0
2025-04-09 04:00:00,158.47,166.38,157.07,164.16,1830671.0
2025-04-10 04:00:00,163.63,166.43,160.89,164.09,1491611.0
2025-04-11 04:00:00,164.56,166.9,162.65,165.65,1233967.0
2025-04-14 04:00:00,166.0,171.26,165.58,170.3,1637631.0
2025-04-15 04:00:00,170.3,171.5,166.72,167.95,1252353.0
2025-04-16 04:00:00,168.66,169.51,163.6211,164.23,1024631.0
2025-04-17 04:00:00,165.86,167.14,162.77,166.59,1120485.0
2025-04-21 04:00:00,166.37,166.68,164.72,166.47,743371.0
2025-04-22 04:00:00,166.85,168.92,165.74,167.44,1002529.0
2025-04-23 04:00:00,167.02,168.6586,164.97,166.6,911252.0
2025-04-24 04:00:00,165.95,166.24,163.7,163.99,760770.0
2025-04-25 04:00:00,163.52,164.35,161.5,163.28,982177.0
2025-04-28 04:00:00,163.56,164.42,161.26,163.06,1298067.0
2025-04-29 04:00:00,163.07,165.72,160.77,165.07,1208673.0
2025-04-30 04:00:00,165.475,168.145,165.03,167.19,3463751.0
2025-05-01 04:00:00,166.31,167.46,161.0,167.13,2618317.0
2025-05-02 04:00:00,166.74,167.5899,160.92,163.35,2230814.0
2025-05-05 04:00:00,163.25,166.72,161.875,166.66,1820466.0
2025-05-06 04:00:00,166.28,170.09,165.4039,170.01,1539532.0
2025-05-07 04:00:00,170.02,170.02,166.5,168.67,2195288.0
2025-05-08 04:00:00,168.39,170.31,167.22,170.12,1750117.0
2025-05-09 04:00:00,169.0,171.135,168.36,170.9,1228329.0
2025-05-12 04:00:00,171.09,171.45,166.39,167.58,2300540.0
2025-05-13 04:00:00,167.05,167.63,161.23,163.3,2246094.0
2025-05-14 04:00:00,163.1,163.6622,160.825,161.72,1461394.0
2025-05-15 04:00:00,163.0,164.4,161.38,163.69,1231172.0
2025-05-16 04:00:00,162.32,162.32,155.855,158.49,2012502.0
2025-05-19 04:00:00,158.3,158.81,156.25,156.55,1785840.0
2025-05-20 04:00:00,156.5,157.9125,155.555,155.7,1679589.0
2025-05-21 04:00:00,156.0,156.0,151.18,151.29,1814239.0
2025-05-22 04:00:00,150.95,154.18,150.04,153.86,2865817.0
2025-05-23 04:00:00,155.11,155.87,152.21,155.35,1907627.0
2025-05-27 04:00:00,156.08,159.79,155.68,158.23,2737891.0
2025-05-28 04:00:00,157.11,158.9999,155.67,155.9,1248626.0
2025-05-29 04:00:00,154.59,162.57,154.37,161.32,2388116.0
2025-05-30 04:00:00,160.8,161.99,159.83,160.69,2073033.0
2025-06-02 04:00:00,159.78,161.51,157.77,161.45,1063702.0
2025-06-03 04:00:00,160.78,163.17,158.67,163.08,1068778.0
2025-06-04 04:00:00,163.43,163.62,161.22,161.48,1114205.0
2025-06-05 04:00:00,160.7,163.5,160.62,162.78,1403860.0
2025-06-06 04:00:00,162.78,163.845,160.87,161.75,1112188.0
2025-06-09 04:00:00,161.45,167.4465,161.39,166.91,1677462.0
2025-06-10 04:00:00,167.29,169.75,166.34,168.54,1433881.0
2025-06-11 04:00:00,168.54,169.25,167.63,168.05,1022023.0
2025-06-12 04:00:00,168.05,172.5,167.5001,172.12,2227668.0
2025-06-13 04:00:00,172.26,174.2,168.775,169.12,1834402.0
2025-06-16 04:00:00,170.07,171.31,168.71,170.41,1553984.0
2025-06-17 04:00:00,169.6,171.35,168.4906,168.87,1262533.0
2025-06-18 04:00:00,168.95,170.88,167.41,169.72,1787160.0
2025-06-20 04:00:00,170.0,173.83,170.0,171.45,4188794.0
2025-06-23 04:00:00,171.76,173.33,169.815,173.13,1354933.0
2025-06-24 04:00:00,172.84,173.145,170.6,172.05,1697564.0
2025-06-25 04:00:00,169.98,170.7492,167.17,167.54,2234519.0
2025-06-26 04:00:00,168.23,168.94,166.13,167.0,1980455.0
2025-06-27 04:00:00,167.12,168.86,166.48,166.99,2471535.0
2025-06-30 04:00:00,166.64,167.5,164.8,165.95,2050486.0
2025-07-01 04:00:00,165.95,178.06,165.93,175.81,2869364.0
2025-07-02 04:00:00,175.43,177.89,174.41,177.08,1071529.0
2025-07-03 04:00:00,177.22,177.55,175.019,176.47,733761.0
2025-07-07 04:00:00,176.62,176.85,174.45,175.55,1548856.0
2025-07-08 04:00:00,173.64,174.7,169.18,169.93,1919454.0
2025-07-09 04:00:00,169.45,169.45,161.5,161.95,3522780.0
2025-07-10 04:00:00,161.01,165.48,160.07,164.64,2135293.0
2025-07-11 04:00:00,163.85,165.37,162.59,164.76,1080801.0
2025-07-14 04:00:00,165.83,166.35,163.4715,164.91,1050109.0
2025-07-15 04:00:00,164.86,166.11,162.53,162.91,1659674.0
2025-07-16 04:00:00,163.24,164.39,161.29,164.27,1343316.0
2025-07-17 04:00:00,166.01,171.7,165.615,171.23,2096546.0
2025-07-18 04:00:00,171.55,173.01,170.83,171.29,2394426.0
2025-07-21 04:00:00,174.18,181.28,174.18,176.75,3328571.0
2025-07-22 04:00:00,175.925,182.63,175.325,181.69,2193709.0
2025-07-23 04:00:00,182.06,185.41,181.8008,183.23,1782160.0
2025-07-24 04:00:00,183.18,184.235,181.615,183.9,1129997.0
2025-07-25 04:00:00,183.88,187.66,182.59,187.12,1943827.0
2025-07-28 04:00:00,185.57,186.48,182.41,184.56,1533433.0
2025-07-29 04:00:00,184.24,186.84,182.92,186.23,2203866.0
2025-07-30 04:00:00,194.0,199.0,188.01,188.83,3009239.0
2025-07-31 04:00:00,186.31,189.745,185.25,186.13,2167850.0
2025-08-01 04:00:00,187.89,191.17,187.475,189.01,2072883.0
2025-08-04 04:00:00,188.37,191.07,187.81,190.41,1344992.0
2025-08-05 04:00:00,190.37,192.6731,188.88,188.94,1109056.0
2025-08-06 04:00:00,188.93,189.82,186.22,188.59,1062157.0
2025-08-07 04:00:00,188.29,190.5577,185.01,187.5,1977786.0
2025-08-08 04:00:00,187.05,187.4,183.4412,184.27,1655463.0
2025-08-11 04:00:00,184.63,184.64,173.97,175.42,3185044.0
2025-08-12 04:00:00,176.25,177.89,174.83,176.47,1447260.0
2025-08-13 04:00:00,175.5,180.77,175.5,180.06,1248029.0
2025-08-14 04:00:00,179.29,181.03,177.585,180.26,1290962.0
2025-08-15 04:00:00,180.98,180.98,176.34,177.99,1289996.0
2025-08-18 04:00:00,178.53,179.37,177.2908,178.4,1154834.0
2025-08-19 04:00:00,179.08,182.25,179.03,180.77,1496777.0
2025-08-20 04:00:00,181.95,185.0,181.1216,181.59,1289061.0
2025-08-21 04:00:00,180.15,180.3575,178.43,179.36,1171397.0
2025-08-22 04:00:00,180.27,181.9899,179.4,181.43,1110311.0
2025-08-25 04:00:00,181.07,181.835,178.9601,180.68,1121673.0
2025-08-26 04:00:00,180.15,183.57,179.73,183.4,1325806.0
2025-08-27 04:00:00,182.7,183.68,181.195,181.66,882503.0
2025-08-28 04:00:00,180.58,181.1299,177.74,179.99,1220234.0
2025-08-29 04:00:00,180.16,184.22,179.975,183.75,1107637.0
2025-09-02 04:00:00,183.98,186.035,183.62,185.78,1209989.0
2025-09-03 04:00:00,185.44,186.4538,182.79,184.69,1112150.0
2025-09-04 04:00:00,184.91,186.2,184.0,185.3,733703.0
2025-09-05 04:00:00,185.59,190.21,185.12,185.48,1328502.0
2025-09-08 04:00:00,184.62,188.39,184.0268,187.53,1466263.0
2025-09-09 04:00:00,187.74,188.85,187.2001,187.69,925061.0
2025-09-10 04:00:00,186.63,187.36,182.99,185.6,1336451.0
2025-09-11 04:00:00,186.21,187.75,185.44,185.55,915802.0
2025-09-12 04:00:00,184.63,185.62,183.45,185.01,871568.0
2025-09-15 04:00:00,186.31,186.925,184.26,185.56,939532.0
2025-09-16 04:00:00,192.475,195.35,188.71,193.45,2815464.0
2025-09-17 04:00:00,193.09,194.9099,189.9542,191.09,1189362.0
2025-09-18 04:00:00,189.12,190.5015,187.58,189.08,1869312.0
2025-09-19 04:00:00,189.22,190.69,187.86,190.18,3209101.0
2025-09-22 04:00:00,190.12,193.4599,188.3155,192.34,1718443.0
2025-09-23 04:00:00,191.93,192.915,189.82,190.74,1308833.0
2025-09-24 04:00:00,190.8,192.08,190.1,190.89,1136438.0
2025-09-25 04:00:00,192.34,192.34,185.11,185.26,1356709.0
2025-09-26 04:00:00,185.12,188.42,185.0,188.11,1043252.0
2025-09-29 04:00:00,187.67,188.595,183.27,184.11,1334746.0
2025-09-30 04:00:00,184.76,187.66,183.1917,187.05,1074887.0
2025-10-01 04:00:00,187.09,189.39,184.45,188.83,1273949.0
2025-10-02 04:00:00,186.99,189.88,186.79,189.02,1056716.0
2025-10-03 04:00:00,189.0,195.34,188.76,195.13,1678789.0
2025-10-06 04:00:00,195.4,196.045,192.91,195.18,1392912.0
2025-10-07 04:00:00,195.99,197.12,193.32,194.39,1417735.0
2025-10-08 04:00:00,194.49,196.585,193.76,195.56,1013482.0
2025-10-09 04:00:00,195.92,195.92,191.1,192.58,1165362.0
2025-10-10 04:00:00,193.71,195.72,191.57,192.13,1199230.0
2025-10-13 04:00:00,188.7,189.67,186.62,189.2,1577404.0
2025-10-14 04:00:00,188.6,191.45,184.5301,189.43,1604115.0
2025-10-15 04:00:00,189.64,191.63,188.785,191.6,1551276.0
2025-10-16 04:00:00,192.02,194.21,186.47,186.8,1508294.0
2025-10-17 04:00:00,188.17,188.443,184.89,187.74,3175428.0
2025-10-20 04:00:00,187.52,189.0319,184.065,186.21,1433335.0
2025-10-21 04:00:00,187.3,187.52,185.31,186.13,905986.0
2025-10-22 04:00:00,185.74,186.125,181.81,184.2,1254747.0
2025-10-23 04:00:00,184.25,184.76,180.9,181.58,1139340.0
2025-10-24 04:00:00,182.9,182.9,179.31,179.38,1217569.0
2025-10-27 04:00:00,179.95,181.499,178.94,181.45,1335152.0
2025-10-28 04:00:00,179.66,182.355,179.41,180.25,1761018.0
2025-10-29 04:00:00,178.73,179.17,173.5,175.28,3128735.0
2025-10-30 04:00:00,172.13,172.93,163.09,171.16,4296791.0
2025-10-31 04:00:00,171.49,171.71,166.41,169.63,2501092.0
2025-11-03 05:00:00,168.22,168.66,161.43,162.31,2657399.0
2025-11-04 05:00:00,162.42,166.88,161.67,165.95,2084479.0
2025-11-05 05:00:00,166.14,170.22,165.306,169.88,2199176.0
2025-11-06 05:00:00,168.65,170.3,167.29,167.64,1612480.0
2025-11-07 05:00:00,168.78,171.39,168.0,170.61,1260915.0
2025-11-10 05:00:00,169.86,169.905,164.02,168.91,2248231.0
2025-11-11 05:00:00,170.01,174.34,169.84,172.72,2037545.0
2025-11-12 05:00:00,173.53,179.44,173.385,178.26,2426738.0
2025-11-13 05:00:00,178.22,181.44,177.685,178.14,1924740.0
2025-11-14 05:00:00,179.24,180.55,177.17,179.2,1595826.0
2025-11-17 05:00:00,180.32,184.6,178.87,179.0,2295413.0
2025-11-18 05:00:00,179.11,184.555,178.855,182.93,2216023.0
2025-11-19 05:00:00,181.91,183.01,181.41,182.48,1374397.0
2025-11-20 05:00:00,181.65,185.08,180.95,182.66,1512006.0
2025-11-21 05:00:00,184.1,187.0,181.83,186.0,1874466.0
2025-11-24 05:00:00,186.29,187.94,185.11,185.8,2821573.0
2025-11-25 05:00:00,186.22,186.96,185.395,186.75,1341927.0
2025-11-26 05:00:00,188.39,189.05,187.04,188.2,1061917.0
2025-11-28 05:00:00,188.0,189.49,187.5,188.08,527740.0
2025-12-01 05:00:00,187.73,187.99,184.92,185.08,1289245.0
2025-12-02 05:00:00,184.48,184.995,180.21,182.77,1648198.0
2025-12-03 05:00:00,183.63,185.425,180.45,180.63,1437226.0
2025-12-04 05:00:00,181.99,182.58,179.43,182.46,1295304.0
2025-12-05 05:00:00,181.53,183.25,180.56,182.3,1084382.0
2025-12-08 05:00:00,181.29,182.2669,179.16,180.78,1824440.0
