date,open,high,low,close,volume
2025-12-09 05:00:00,278.16,280.03,276.92,277.18,32193256.0
2025-12-10 05:00:00,277.75,279.75,276.44,278.78,33038318.0
2025-12-11 05:00:00,279.095,279.59,273.81,278.03,33247986.0
2025-12-12 05:00:00,277.9,279.22,276.82,278.28,39532887.0
2025-12-15 05:00:00,280.15,280.15,272.84,274.11,50409078.0
2025-12-16 05:00:00,272.82,275.5,271.79,274.61,37648628.0
2025-12-17 05:00:00,275.01,276.16,271.64,271.84,50138743.0
2025-12-18 05:00:00,273.605,273.63,266.95,272.19,51630721.0
2025-12-19 05:00:00,272.145,274.6,269.9,273.67,144632048.0
2025-12-22 05:00:00,272.86,273.88,270.505,270.97,36571827.0
2025-12-23 05:00:00,270.84,272.5,269.56,272.36,29641999.0
2025-12-24 05:00:00,272.34,275.43,272.195,273.81,17910574.0
2025-12-26 05:00:00,274.16,275.37,272.86,273.4,21521802.0
2025-12-29 05:00:00,272.69,274.36,272.35,273.76,23715213.0
2025-12-30 05:00:00,272.81,274.08,272.28,273.08,22139617.0
2025-12-31 05:00:00,273.06,273.68,271.75,271.86,27293639.0
2026-01-02 05:00:00,272.255,277.84,269.0,271.01,37838054.0
2026-01-05 05:00:00,270.64,271.51,266.14,267.26,45572200.0
2026-01-06 05:00:00,267.0,267.55,262.12,262.36,52352090.0
2026-01-07 05:00:00,263.2,263.68,259.81,260.33,48309804.0
2026-01-08 05:00:00,257.02,259.29,255.7,259.04,50419337.0
2026-01-09 05:00:00,259.075,260.21,256.22,259.37,39996967.0
2026-01-12 05:00:00,259.16,261.3,256.8,260.25,45263767.0
2026-01-13 05:00:00,258.72,261.81,258.39,261.05,45730847.0
2026-01-14 05:00:00,259.49,261.82,256.71,259.96,40019421.0
2026-01-15 05:00:00,260.65,261.04,257.05,258.21,39388564.0
2026-01-16 05:00:00,257.9,258.9,254.93,255.53,72142773.0
2026-01-20 05:00:00,252.73,254.79,243.42,246.7,80267517.0
2026-01-21 05:00:00,248.7,251.56,245.18,247.65,54641725.0
2026-01-22 05:00:00,249.2,251.0,248.15,248.35,39708340.0
2026-01-23 05:00:00,247.32,249.41,244.68,248.04,41688982.0
2026-01-26 05:00:00,251.48,256.56,249.8,255.41,55969234.0
2026-01-27 05:00:00,259.17,261.95,258.21,258.27,49648271.0
2026-01-28 05:00:00,257.65,258.855,254.51,256.44,41287971.0
2026-01-29 05:00:00,258.0,259.65,254.41,258.28,67253009.0
2026-01-30 05:00:00,255.165,261.8999,252.18,259.48,92443408.0
2026-02-02 05:00:00,260.03,270.49,259.205,270.01,73913425.0
2026-02-03 05:00:00,269.2,271.875,267.61,269.48,64394655.0
2026-02-04 05:00:00,272.285,278.95,272.285,276.49,90545710.0
2026-02-05 05:00:00,278.13,279.5,273.23,275.91,52977441.0
2026-02-06 05:00:00,277.12,280.905,276.925,278.12,50453414.0
2026-02-09 05:00:00,277.905,278.2,271.7,274.62,44623396.0
2026-02-10 05:00:00,274.885,275.37,272.94,273.68,34376898.0
2026-02-11 05:00:00,274.695,280.18,274.45,275.5,51931283.0
2026-02-12 05:00:00,275.59,275.72,260.18,261.73,81077229.0
2026-02-13 05:00:00,262.01,262.23,255.45,255.78,56290673.0
2026-02-17 05:00:00,258.05,266.29,255.54,263.88,58469094.0
2026-02-18 05:00:00,263.6,266.82,262.45,264.35,34203337.0
2026-02-19 05:00:00,262.6,264.48,260.05,260.58,30845294.0
2026-02-20 05:00:00,258.97,264.75,258.16,264.58,42070499.0
2026-02-23 05:00:00,263.49,269.43,263.381,266.18,37485756.0
2026-02-24 05:00:00,267.86,274.89,267.71,272.14,47170799.0
2026-02-25 05:00:00,271.78,274.94,271.05,274.23,33872816.0
2026-02-26 05:00:00,274.945,276.11,270.795,272.95,32503510.0
2026-02-27 05:00:00,272.81,272.81,262.89,264.18,72529622.0
2026-03-02 05:00:00,262.41,266.53,260.2,264.72,42020588.0
2026-03-03 05:00:00,263.48,265.56,260.13,263.75,38686890.0
2026-03-04 05:00:00,264.65,266.15,261.42,262.52,39959953.0
2026-03-05 05:00:00,260.79,261.555,257.25,260.29,49818541.0
2026-03-06 05:00:00,258.63,258.77,254.37,257.46,41273884.0
2026-03-09 04:00:00,255.69,261.15,253.6805,259.88,38398591.0
2026-03-10 04:00:00,257.645,262.48,256.95,260.83,30750595.0
2026-03-11 04:00:00,261.09,262.13,259.55,260.81,26372593.0
2026-03-12 04:00:00,258.66,258.95,254.18,255.76,40952141.0
2026-03-13 04:00:00,255.48,256.33,249.52,250.12,37092748.0
2026-03-16 04:00:00,252.105,253.885,249.88,252.82,32254050.0
2026-03-17 04:00:00,252.955,255.13,252.18,254.23,32510780.0
2026-03-18 04:00:00,252.625,254.94,249.0,249.94,35915193.0
2026-03-19 04:00:00,249.4,251.83,247.3,248.96,35019905.0
2026-03-20 04:00:00,247.975,249.1999,246.0,247.99,88492140.0
2026-03-23 04:00:00,253.97,254.6,250.28,251.49,40725811.0
2026-03-24 04:00:00,250.35,254.825,249.55,251.64,45304131.0
2026-03-25 04:00:00,254.095,255.0,251.6,252.62,28626412.0
2026-03-26 04:00:00,252.115,257.0,250.77,252.89,41948926.0
2026-03-27 04:00:00,253.9,255.493,248.07,248.8,48058120.0
2026-03-30 04:00:00,250.07,250.87,245.51,246.63,39622901.0
2026-03-31 04:00:00,247.91,255.48,247.101,253.79,49749647.0
2026-04-01 04:00:00,254.08,256.18,253.33,255.63,40214210.0
2026-04-02 04:00:00,254.2,256.13,250.65,255.92,31436918.0
2026-04-06 04:00:00,256.51,262.16,256.46,258.86,29515075.0
2026-04-07 04:00:00,256.155,256.2,245.7,253.5,62320464.0
2026-04-08 04:00:00,258.45,259.7499,256.53,258.9,41185418.0
2026-04-09 04:00:00,259.0,261.12,256.07,260.49,28265531.0
2026-04-10 04:00:00,259.98,262.19,259.0231,260.48,31442238.0
2026-04-13 04:00:00,259.73,260.18,256.66,259.2,36408224.0
2026-04-14 04:00:00,259.245,261.93,257.19,258.83,48524835.0
2026-04-15 04:00:00,258.16,266.56,257.81,266.43,50072607.0
2026-04-16 04:00:00,266.8,267.16,261.27,263.4,43478258.0
2026-04-17 04:00:00,266.96,272.3,266.72,270.23,61597694.0
2026-04-20 04:00:00,270.33,274.275,270.29,273.05,36649162.0
2026-04-21 04:00:00,271.5,272.8,265.4,266.17,50375502.0
2026-04-22 04:00:00,267.82,273.74,266.87,273.17,43403761.0
2026-04-23 04:00:00,275.045,275.77,271.65,273.43,33551842.0
2026-04-24 04:00:00,272.755,273.06,269.65,271.06,38318683.0
2026-04-27 04:00:00,266.09,268.36,265.07,267.61,41535873.0
2026-04-28 04:00:00,272.335,273.23,268.66,270.71,40172718.0
2026-04-29 04:00:00,267.55,271.04,267.04,270.17,30201056.0
2026-04-30 04:00:00,270.5,276.0,268.14,271.35,92016751.0
2026-05-01 04:00:00,278.855,287.22,278.37,280.14,80105508.0
2026-05-04 04:00:00,279.655,280.63,274.8601,276.83,46845300.0
2026-05-05 04:00:00,276.925,284.57,276.501,284.18,49478504.0
2026-05-06 04:00:00,281.915,288.03,281.07,287.51,58505958.0
2026-05-07 04:00:00,289.27,292.13,285.78,287.44,45390735.0
2026-05-08 04:00:00,290.01,294.76,290.0,293.32,52883906.0
2026-05-11 04:00:00,291.979,293.88,290.23,292.68,42447512.0
2026-05-12 04:00:00,292.56,295.27,292.56,294.8,45915100.0
2026-05-13 04:00:00,293.5,300.92,293.5,298.87,52854874.0
2026-05-14 04:00:00,299.82,300.45,295.38,298.21,35497001.0
2026-05-15 04:00:00,297.9,303.2,296.52,300.23,55041205.0
2026-05-18 04:00:00,300.24,300.66,294.91,297.84,34681425.0
2026-05-19 04:00:00,296.97,300.51,296.35,298.97,42407713.0
2026-05-20 04:00:00,298.18,302.8,298.08,302.25,38392499.0
2026-05-21 04:00:00,301.055,305.54,300.4,304.99,43130643.0
2026-05-22 04:00:00,306.12,311.4,305.84,308.82,43850433.0
2026-05-26 04:00:00,309.56,311.82,307.67,308.33,48211426.0
2026-05-27 04:00:00,308.33,313.26,308.3,310.85,50602317.0
2026-05-28 04:00:00,310.68,312.8,309.57,312.51,48391247.0
2026-05-29 04:00:00,311.775,315.0,309.53,312.06,70201217.0
2026-06-01 04:00:00,309.625,310.94,305.02,306.31,49067433.0
2026-06-02 04:00:00,307.46,315.45,306.685,315.2,44713169.0
2026-06-03 04:00:00,314.175,316.94,308.85,310.26,51012180.0
2026-06-04 04:00:00,313.23,313.54,309.65,311.23,45035886.0
2026-06-05 04:00:00,312.86,315.17,307.15,307.34,65490996.0
2026-06-08 04:00:00,308.739,317.4,301.17,301.54,78172037.0
2026-06-09 04:00:00,300.275,300.75,287.78,290.55,70285528.0
2026-06-10 04:00:00,290.74,294.75,287.38,291.58,52993052.0
2026-06-11 04:00:00,293.72,297.0,289.59,295.63,42760915.0
2026-06-12 04:00:00,296.03,297.14,289.62,291.13,38970821.0
2026-06-15 04:00:00,294.12,297.78,291.7,296.42,45931352.0
2026-06-16 04:00:00,295.245,300.48,293.97,299.24,40039926.0
2026-06-17 04:00:00,300.845,302.07,294.36,295.95,42907686.0
2026-06-18 04:00:00,298.11,300.57,295.62,298.01,86421905.0
2026-06-22 04:00:00,297.31,302.42,296.76,297.01,45089193.0
2026-06-23 04:00:00,297.538,301.64,294.18,294.3,52179625.0
2026-06-24 04:00:00,295.355,299.7,292.94,293.08,53319698.0
2026-06-25 04:00:00,287.4,288.8,273.75,275.15,107450336.0
2026-06-26 04:00:00,275.0,285.95,274.21,283.78,261946552.0
2026-06-29 04:00:00,286.73,288.3697,279.85,281.74,66820039.0
2026-06-30 04:00:00,281.17,289.94,280.695,289.36,65405945.0
2026-07-01 04:00:00,293.44,296.59,289.195,294.38,50332267.0
2026-07-02 04:00:00,294.12,309.42,293.68,308.63,75580907.0
2026-07-06 04:00:00,307.36,314.2,307.0,312.66,53865529.0
2026-07-07 04:00:00,315.29,315.48,310.15,310.66,42707382.0
2026-07-08 04:00:00,311.91,314.82,307.05,313.39,41535672.0
2026-07-09 04:00:00,310.51,316.53,308.16,316.22,48340151.0
2026-07-10 04:00:00,314.72,316.91,312.17,315.32,34351809.0
2026-07-13 04:00:00,317.015,323.45,315.78,317.31,43508510.0
2026-07-14 04:00:00,313.76,316.19,311.91,314.86,36550290.0
2026-07-15 04:00:00,317.615,328.73,317.32,327.5,61191301.0
2026-07-16 04:00:00,328.005,334.68,326.79,333.26,63195341.0
2026-07-17 04:00:00,331.98,334.99,329.0006,333.74,63625972.0
2026-07-20 04:00:00,333.505,333.71,323.68,326.59,53712154.0
2026-07-21 04:00:00,323.13,329.6,322.2204,327.74,41539133.0
2026-07-22 04:00:00,327.87,328.9995,323.34,325.89,38965572.0
2026-07-23 04:00:00,321.73,323.3,319.35,321.66,41050730.0
2026-07-24 04:00:00,321.79,334.37,321.62,333.02,47696043.0
2026-07-27 04:00:00,334.54,339.57,334.02,336.91,49845014.0
2026-07-28 04:00:00,340.03,342.89,335.6,340.08,52061446.0
2026-07-29 04:00:00,339.73,344.5699,337.3501,338.19,56298904.0
2026-07-30 04:00:00,333.1,334.75,329.59,333.43,75028386.0
2026-07-31 04:00:00,304.81,310.69,300.0,308.91,132756799.0
2026-08-03 04:00:00,309.58,311.8,302.56,303.42,75314280.0
2026-08-04 04:00:00,302.725,310.42,301.32,309.38,68214703.0
2026-08-05 04:00:00,309.36,311.71,305.67,311.0,49657830.0
2026-08-06 04:00:00,314.34,316.2894,309.23,312.41,46342840.0
2026-08-07 04:00:00,311.45,314.81,310.74,313.33,34646756.0
2026-08-10 04:00:00,306.83,308.26,304.61,308.26,45062553.0
2026-08-11 04:00:00,307.75,309.97,302.79,304.91,37688321.0
2026-08-12 04:00:00,305.1,305.66,300.57,302.25,41873071.0
2026-08-13 04:00:00,304.21,306.0,302.05,305.26,40544601.0
2026-08-14 04:00:00,306.0,307.49,304.3,305.93,28442252.0
2026-08-17 04:00:00,306.21,307.66,302.939,305.59,38414225.0
2026-08-18 04:00:00,307.58,311.49,305.74,310.03,53629117.0
2026-08-19 04:00:00,310.14,319.2799,309.6,316.83,50704129.0
2026-08-20 04:00:00,317.455,320.28,310.65,311.3,41133622.0
2026-08-21 04:00:00,312.05,312.38,307.01,309.35,47080272.0
2026-08-24 04:00:00,311.47,313.36,309.97,310.34,35049573.0
2026-08-25 04:00:00,310.79,313.59,308.21,309.9,26081057.0
2026-08-26 04:00:00,310.3,315.43,308.8001,313.45,34733950.0
